(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-3736-MONOMER	transposase	G1G01-3736	CCI-CYTOSOL-GN
G1G01-2010-MONOMER	ExbD/TolR family protein	G1G01-2010	CCI-PM-BAC-NEG-GN
CPLX1G01-191	Tol cell envelope complex	G1G01-1305 // G1G01-1304 // G1G01-1307 // G1G01-1306	
G1G01-605-MONOMER	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha	G1G01-605	CCI-CYTOSOL-GN
G1G01-4072-MONOMER	polyamine ABC transporter substrate-binding protein	G1G01-4072	CCI-PERI-BAC-GN
CPLX1G01-173	multidrug efflux pump TtgABC	G1G01-1476 // G1G01-1475 // G1G01-1474	
G1G01-950-MONOMER	hypothetical protein	G1G01-950	CCI-CYTOSOL-GN
G1G01-133-MONOMER	protein dithiol oxidoreductase (disulfide-forming)	G1G01-133	CCI-PERI-BAC-GN
G1G01-2361-MONOMER	DksA/TraR family C4-type zinc finger protein	G1G01-2361	CCI-CYTOSOL-GN
CPLX1G01-158	succinyl-CoA synthetase	G1G01-4451 // G1G01-4452	
G1G01-4418-MONOMER	excisionase domain-containing protein	G1G01-4418	CCI-CYTOSOL-GN
G1G01-271-MONOMER	hypothetical protein	G1G01-271	CCI-CYTOSOL-GN
CPLX1G01-143	methylcrotonyl-CoA carboxylase biotin-containing	G1G01-4331 // G1G01-4329	
G1G01-1110-MONOMER	phosphoribosylformylglycinamidine synthase	G1G01-1110	CCI-CYTOSOL-GN
G1G01-4759-MONOMER	hypothetical protein	G1G01-4759	
CPLX1G01-125	pyruvate dehydrogenase system	G1G01-4454 // G1G01-372 // G1G01-371	
G1G01-1458-MONOMER	glycosyltransferase domain-containing protein	G1G01-1458	CCI-PM-BAC-NEG-GN
G1G01-3046-MONOMER	pyridine nucleotide-disulphide oxidoreductase family protein	G1G01-3046	CCI-PM-BAC-NEG-GN
CPLX1G01-110	benzoate 1,2-dioxygenase	G1G01-3383 // G1G01-3382 // G1G01-3381	
G1G01-512-MONOMER	50S ribosomal protein L5	G1G01-512	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-3383-MONOMER	benzoate 1,2-dioxygenase electron transfer component	G1G01-3383	CCI-CYTOSOL-GN
CPLX-9268	fatty acid oxidation complex, &alpha; component	G1G01-2277	
G1G01-1800-MONOMER	recombination-associated protein RdgC	G1G01-1800	CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
G1G01-5457-MONOMER	Zn-dependent peptidase	G1G01-5457	
CPLX1G01-89	DNA polymerase III	G1G01-11 // G1G01-1052 // G1G01-1703 // G1G01-2090 // G1G01-4408 // G1G01-4542 // G1G01-5133	
G1G01-3721-MONOMER	cytochrome c	G1G01-3721	CCI-PM-BAC-NEG-GN
G1G01-1998-MONOMER	fimbrial protein	G1G01-1998	CCI-PILUS-GN
CPLX1G01-74	TRAP dicarboxylate transporter	G1G01-1252 // G1G01-1251 // G1G01-1250	
G1G01-591-MONOMER	acetyltransferase	G1G01-591	CCI-CYTOSOL-GN
G1G01-4058-MONOMER	hypothetical protein	G1G01-4058	CCO-MEMBRANE
CPLX1G01-58	glycine-tRNA ligase	G1G01-64 // G1G01-63	
G1G01-936-MONOMER	outer membrane ferric siderophore receptor	G1G01-936	CCI-OUTER-MEM-GN
G1G01-2346-MONOMER	multicopper oxidase CopA1	G1G01-2346	CCI-PERI-BAC-GN
CPLX1G01-4	ABC-type (2-aminoethyl)phosphonate transporter	G1G01-1824 // G1G01-1825	
G1G01-4403-MONOMER	LuxR family transcriptional regulator	G1G01-4403	CCI-CYTOSOL-GN
G1G01-2694-MONOMER	hypothetical protein	G1G01-2694	
CPLX1G01-24	ABC-type sulfate transporter	G1G01-5514 // G1G01-5515 // G1G01-5513	
G1G01-1097-MONOMER	KHG/KDPG aldolase	G1G01-1097	CCI-CYTOSOL-GN
G1G01-4743-MONOMER	glutathione ABC transporter permease	G1G01-4743	CCI-PM-BAC-NEG-GN
CPLX1G01-205	multidrug RND transporter MexC/MexD/OprJ	G1G01-2999 // G1G01-2998 // G1G01-2997	
G1G01-1442-MONOMER	multidrug MFS transporter	G1G01-1442	CCI-PM-BAC-NEG-GN
G1G01-3030-MONOMER	hypothetical protein	G1G01-3030	CCI-CYTOSOL-GN
CPLX1G01-189	energy transducing Ton complex	G1G01-5664 // G1G01-5663 // G1G01-5665	
G1G01-5104-MONOMER	hypothetical protein	G1G01-5104	CCI-CYTOSOL-GN
G1G01-3369-MONOMER	hypothetical protein	G1G01-3369	CCI-PM-BAC-NEG-GN
CPLX1G01-170	5-carboxymethylaminomethyluridine-tRNA synthase	G1G01-4 // G1G01-5	
G1G01-1786-MONOMER	LysR family transcriptional regulator	G1G01-1786	
G1G01-5442-MONOMER	methionine biosynthesis protein MetW	G1G01-5442	CCI-CYTOSOL-GN
CPLX1G01-155		G1G01-2698	
G1G01-3707-MONOMER	curli production assembly/transport protein CsgG	G1G01-3707	CCI-PERI-BAC-GN
G1G01-1962-MONOMER	elongation factor P	G1G01-1962	CCI-CYTOSOL-GN
G1G01-1979-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-1979	CCI-PM-BAC-NEG-GN
CPLX1G01-140	DNA topoisomerase IV	G1G01-5257 // G1G01-5254	
G1G01-5784-MONOMER	ATP synthase subunit c	G1G01-5784	CCI-PM-BAC-NEG-GN
G1G01-4040-MONOMER	aminotransferase	G1G01-4040	CCI-CYTOSOL-GN
CPLX1G01-122	glycine cleavage system	G1G01-5540 // G1G01-5539 // G1G01-1062 // G1G01-1059 // G1G01-1061 // G1G01-5538 // G1G01-4454	
G1G01-921-MONOMER	DnaK-like molecular chaperone	G1G01-921	CCI-CYTOSOL-GN
G1G01-2331-MONOMER	hypothetical protein	G1G01-2331	
CPLX1G01-108	isoquinoline 1-oxidoreductase	G1G01-2653 // G1G01-2652	
G1G01-439-MONOMER	4-hydroxythreonine-4-phosphate dehydrogenase	G1G01-439	CCI-CYTOSOL-GN
G1G01-2678-MONOMER	LysR family transcriptional regulator	G1G01-2678	CCI-CYTOSOL-GN
CPLX-8178	4-oxalmesaconate hydratase	G1G01-2699	
G1G01-1082-MONOMER	glyceraldehyde-3-phosphate dehydrogenase	G1G01-1082	CCI-CYTOSOL-GN
G1G01-4727-MONOMER	Cro/CI family transcriptional regulator	G1G01-4727	
CPLX1G01-86	vanillate monooxygenase	G1G01-3990 // G1G01-3989	
G1G01-1427-MONOMER	cell division protein FtsQ	G1G01-1427	CCI-PM-BAC-NEG-GN
G1G01-3016-MONOMER	2-keto-3-deoxyxylonate dehydratase	G1G01-3016	
CPLX1G01-71	ring 1,2-phenylacetyl-CoA epoxidase	G1G01-3507 // G1G01-3505 // G1G01-3506 // G1G01-3503	
G1G01-5090-MONOMER	gamma-aminobutyrate permease	G1G01-5090	CCI-PM-BAC-NEG-GN
G1G01-3354-MONOMER	glycosyl transferase	G1G01-3354	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
CPLX1G01-53	acetolactate synthase	G1G01-4998 // G1G01-4997	
G1G01-1771-MONOMER	cobyrinate a,c-diamide synthase	G1G01-1771	CCI-CYTOSOL-GN
G1G01-5427-MONOMER	type IV pili biogenesis protein PilM	G1G01-5427	
CPLX1G01-36	ABC-type amino acid transporter	G1G01-4708 // G1G01-4707 // G1G01-4706	
G1G01-3692-MONOMER	acyl-CoA synthetase	G1G01-3692	CCI-CYTOSOL-GN
G1G01-1964-MONOMER	organic hydroperoxide resistance transcriptional regulator	G1G01-1964	CCI-CYTOSOL-GN
CPLX1G01-218		G1G01-3906	
G1G01-577-MONOMER	farnesyl diphosphate synthase	G1G01-577	CCI-CYTOSOL-GN
G1G01-4026-MONOMER	hypothetical protein	G1G01-4026	CCI-CYTOSOL-GN
CPLX1G01-202	RND family transporter CzcA3/MtrC1	G1G01-3532 // G1G01-3531	
G1G01-907-MONOMER	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	G1G01-907	CCI-CYTOSOL-GN
G1G01-2315-MONOMER	hypothetical protein	G1G01-2315	
CPLX1G01-185	transcriptional regulator TurB	G1G01-4018	
G1G01-4375-MONOMER	4-aminobutyrate aminotransferase	G1G01-4375	CCI-CYTOSOL-GN
G1G01-2663-MONOMER	NAD+-dependent succinate semialdehyde dehydrogenase	G1G01-2663	CCI-CYTOSOL-GN
CPLX1G01-168	MnmE dimer	G1G01-5	
G1G01-1068-MONOMER	membrane protein	G1G01-1068	CCI-PM-BAC-NEG-GN
G1G01-4711-MONOMER	threonine dehydratase	G1G01-4711	CCI-CYTOSOL-GN
CPLX1G01-152	ABC-type molybdate transporter	G1G01-4088 // G1G01-4087	
G1G01-1411-MONOMER	endonuclease	G1G01-1411	
G1G01-3000-MONOMER	HTH-type transcriptional regulator NfxB	G1G01-3000	CCI-CYTOSOL-GN
CPLX1G01-138	DNA gyrase	G1G01-1869 // G1G01-13	
G1G01-5075-MONOMER	type I restriction modification system methylase	G1G01-5075	CCI-CYTOSOL-GN
G1G01-334-MONOMER	L-carnitine dehydrogenase	G1G01-334	CCI-CYTOSOL-GN
CPLX1G01-12	ABC-type branched-chain amino acid transporter	G1G01-2948 // G1G01-2949	
G1G01-1756-MONOMER	hypothetical protein	G1G01-1756	CCI-CYTOSOL-GN
G1G01-5412-MONOMER	hypothetical protein	G1G01-5412	
CPLX1G01-104	ABC-type glycine betaine transporter	G1G01-3796 // G1G01-2954	
G1G01-3677-MONOMER	glyoxalase family protein	G1G01-3677	
G1G01-1948-MONOMER	Mg(2+)/Co(2+) transporter	G1G01-1948	CCI-PM-BAC-NEG-GN
CPLX-7079	hydroxyproline 2-epimerase	G1G01-1345	
G1G01-5753-MONOMER	metal-binding chaperone	G1G01-5753	
G1G01-4011-MONOMER	two component system response regulator/sensor histidine kinase	G1G01-4011	CCI-PM-BAC-NEG-GN
G1G01-1344-MONOMER	&Delta;<sup>1</sup>-pyrroline-4-hydroxy-2-carboxylate deaminase	G1G01-1344	CCI-CYTOSOL-GN
G1G01-892-MONOMER	ferredoxin	G1G01-892	
G1G01-2300-MONOMER	plastocyanin/azurin family copper-binding protein	G1G01-2300	
CPLX1G01-83		G1G01-608	
G1G01-4359-MONOMER	hypothetical protein	G1G01-4359	
G1G01-2649-MONOMER	TetR family transcriptional regulator	G1G01-2649	CCI-CYTOSOL-GN
CPLX1G01-69	cytochrome c heme lyase	G1G01-4600 // G1G01-4599 // G1G01-4598	
G1G01-1051-MONOMER	hypothetical protein	G1G01-1051	CCI-CYTOSOL-GN
G1G01-4698-MONOMER	hypothetical protein	G1G01-4698	
CPLX1G01-5	ABC-type sugar transporter	G1G01-2407 // G1G01-2408 // G1G01-2409 // G1G01-2406	
G1G01-1398-MONOMER	tryptophan--tRNA ligase	G1G01-1398	CCI-CYTOSOL-GN
G1G01-2988-MONOMER	oxidoreductase	G1G01-2988	CCI-PERI-BAC-GN
CPLX1G01-33	ABC-type amino acid transporter	G1G01-728	
G1G01-5059-MONOMER	outer membrane protein assembly factor BamE	G1G01-5059	CCI-OUTER-MEM-GN
G1G01-3324-MONOMER	hypothetical protein	G1G01-3324	
CPLX1G01-215	polyhydroxyalkanoate granule-associated protein PhaF	G1G01-5352	
G1G01-1741-MONOMER	membrane protein	G1G01-1741	CCI-PM-BAC-NEG-GN
G1G01-5399-MONOMER	Sulfurtransferase	G1G01-5399	CCI-PM-BAC-NEG-GN
CPLX1G01-20	ABC-type Zn<sup>2+</sup> transporter	G1G01-122 // G1G01-123 // G1G01-125	
G1G01-3662-MONOMER	two component system response regulator/sensor histidine kinase	G1G01-3662	CCI-PM-BAC-NEG-GN
G1G01-1933-MONOMER	hypothetical protein	G1G01-1933	CCI-CYTOSOL-GN // CCO-MEMBRANE
CPLX1G01-181	ABC-type transporter for LapA protein	G1G01-4822 // G1G01-181 // G1G01-182	
G1G01-5739-MONOMER	putative exported protein	G1G01-5739	
G1G01-3998-MONOMER	glycolate oxidase FAD-linked subunit	G1G01-3998	CCI-CYTOSOL-GN
CPLX1G01-165	heme chaperone HemW	G1G01-5445	
G1G01-878-MONOMER	protein secretion ABC transporter permease	G1G01-878	CCI-PM-BAC-NEG-GN
G1G01-2287-MONOMER	SNF2/RAD54 family helicase	G1G01-2287	CCI-CYTOSOL-GN
CPLX1G01-15	ABC-type branched-chain amino acid transporter	G1G01-675 // G1G01-674 // G1G01-673	
G1G01-4339-MONOMER	hypothetical protein	G1G01-4339	CCI-CYTOSOL-GN
G1G01-2632-MONOMER	hypothetical protein	G1G01-2632	
CPLX1G01-134	aromatic aldehyde dehydrogenase	G1G01-3540 // G1G01-3539 // G1G01-3538	
G1G01-1037-MONOMER	BolA family protein	G1G01-1037	
G1G01-4682-MONOMER	branched-chain alpha-keto acid dehydrogenase complex dihydrolipoyl dehydrogenase	G1G01-4682	CCI-CYTOSOL-GN
CPLX1G01-117	branched-chain 2-oxo acid dehydrogenase complex dihydrolipoyl dehydrogenase component	G1G01-4682	
G1G01-1383-MONOMER	carboxylesterase	G1G01-1383	CCI-PM-BAC-NEG-GN
G1G01-2972-MONOMER	LvaB	G1G01-2972	
CPLX1G01-101	3-isopropylmalate dehydratase	G1G01-2117 // G1G01-2116	
G1G01-5042-MONOMER	phosphoglucosamine mutase	G1G01-5042	CCI-CYTOSOL-GN
G1G01-3309-MONOMER	hypothetical protein	G1G01-3309	
CPLX1G01-97	ABC-type taurine transporter	G1G01-253 // G1G01-254	
G1G01-1725-MONOMER	hypothetical protein	G1G01-1725	CCI-CYTOSOL-GN
G1G01-5384-MONOMER	hypothetical protein	G1G01-5384	
CPLX1G01-80	5-oxoprolinase	G1G01-3751 // G1G01-3750	
G1G01-3648-MONOMER	transcriptional repressor GnuR	G1G01-3648	
G1G01-1919-MONOMER	hypothetical protein	G1G01-1919	CCI-PM-BAC-NEG-GN
CPLX1G01-66	cytochrome <i>cbb<sub>3</sub></i>-1 terminal oxidase	G1G01-4523 // G1G01-4526 // G1G01-4525 // G1G01-4524	
G1G01-5723-MONOMER	transketolase domain-containing protein	G1G01-5723	
G1G01-3983-MONOMER	transcriptional regulator AruR	G1G01-3983	CCI-CYTOSOL-GN
CPLX1G01-47	ribonucleoside-diphosphate reductase	G1G01-1261 // G1G01-1259	
G1G01-863-MONOMER	N-acetyl-anhydromuramyl-L-alanine-amidase	G1G01-863	CCI-CYTOSOL-GN
G1G01-2272-MONOMER	lytic transglycosylase	G1G01-2272	CCI-PERI-BAC-GN
CPLX1G01-30	ABC-type sulfonate transporter	G1G01-3873 // G1G01-3874 // G1G01-3875	
G1G01-4323-MONOMER	1,4-alpha-glucan branching enzyme	G1G01-4323	CCI-CYTOSOL-GN
G1G01-2616-MONOMER	gamma-glutamylputrescine oxidase	G1G01-2616	CCI-CYTOSOL-GN
CPLX1G01-212	arsenic/antimony resistance transcriptional regulator ArsR2	G1G01-2899	
G1G01-1022-MONOMER	phosphocarrier protein HPr	G1G01-1022	CCI-CYTOSOL-GN
G1G01-4668-MONOMER	flagellar basal-body rod protein FlgC	G1G01-4668	CCI-PERI-BAC-GN // CCO-CELL-PROJECTION
CPLX1G01-198	aerobactin outer membrane transport complex	G1G01-2334 // G1G01-5665 // G1G01-5663 // G1G01-5664	
G1G01-1369-MONOMER	alginate biosynthesis protein AlgX	G1G01-1369	CCI-PERI-BAC-GN
G1G01-2958-MONOMER	3-oxoacyl-ACP synthase	G1G01-2958	CCI-CYTOSOL-GN
CPLX1G01-179	glutarate dioxygenase	G1G01-3088	
G1G01-5025-MONOMER	hypothetical protein	G1G01-5025	CCI-OUTER-MEM-GN
G1G01-3294-MONOMER	hypothetical protein	G1G01-3294	CCI-CYTOSOL-GN
CPLX1G01-162	formaldehyde dehydrogenase 1	G1G01-361	
G1G01-1708-MONOMER	2-dehydro-3-deoxyphosphooctonate aldolase	G1G01-1708	CCI-CYTOSOL-GN
G1G01-5369-MONOMER	amino acid ABC transporter substrate-binding protein	G1G01-5369	CCI-PERI-BAC-GN // CCO-MEMBRANE
CPLX1G01-147	ATP synthase Fo subunit	G1G01-5785 // G1G01-5783 // G1G01-5784	
G1G01-3631-MONOMER	alpha-ketoglutarate- and Fe(II)-dependent dioxygenase	G1G01-3631	
G1G01-1903-MONOMER	oxidoreductase Rmd	G1G01-1903	
CPLX1G01-131	nicotinate dehydrogenase	G1G01-4213 // G1G01-4212	
G1G01-5709-MONOMER	hypothetical protein	G1G01-5709	CCI-PM-BAC-NEG-GN
G1G01-3969-MONOMER	catechol utilization transcriptional regulator	G1G01-3969	CCI-CYTOSOL-GN
CPLX1G01-114	exodeoxyribonuclease 7	G1G01-1100 // G1G01-578	
G1G01-849-MONOMER	OmpA/MotB domain-containing protein	G1G01-849	CCI-OUTER-MEM-GN
G1G01-2257-MONOMER	erythronate-4-phosphate dehydrogenase	G1G01-2257	CCI-CYTOSOL-GN
CPLX1G01-1	ABC-type ferric-siderophore transporter	G1G01-2774 // G1G01-2775	
G1G01-4309-MONOMER	hypothetical protein	G1G01-4309	
G1G01-2456-MONOMER	hypothetical protein	G1G01-2456	
G1G01-2601-MONOMER	LysR family transcriptional regulator	G1G01-2601	CCI-CYTOSOL-GN
CPLX1G01-92	adenosylcobinamide-phosphate synthase	G1G01-1774 // G1G01-1773	
G1G01-1008-MONOMER	cell shape-determining protein MreC	G1G01-1008	
G1G01-4653-MONOMER	flagellar chaperone	G1G01-4653	CCI-CYTOSOL-GN
CPLX1G01-78	carbamoyl-phosphate synthase	G1G01-5050 // G1G01-5049	
G1G01-1354-MONOMER	toxin antitoxin system SohB(PrlF)-YhaV toxin endoribonuclease	G1G01-1354	
G1G01-2943-MONOMER	acyl-CoA dehydrogenase/oxidase family protein	G1G01-2943	CCI-CYTOSOL-GN
CPLX1G01-62	ABC-type nickel transporter	G1G01-3576 // G1G01-3577 // G1G01-3578 // G1G01-3579	
G1G01-501-MONOMER	50S ribosomal protein L4	G1G01-501	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-328-MONOMER	L-serine dehydratase	G1G01-328	CCI-CYTOSOL-GN
CPLX1G01-44	succinate dehydrogenase	G1G01-4461 // G1G01-4459 // G1G01-4458 // G1G01-4460	
G1G01-1693-MONOMER	CTP:phosphatidate cytidyltransferase	G1G01-1693	CCI-PM-BAC-NEG-GN
G1G01-5354-MONOMER	hypothetical protein	G1G01-5354	
CPLX1G01-28	ABC-type polyamine transporter	G1G01-4075 // G1G01-4074 // G1G01-4073	
G1G01-3617-MONOMER	type VI secretion system protein	G1G01-3617	CCI-CYTOSOL-GN
G1G01-5695-MONOMER	ornithine utilization transcriptional regulator	G1G01-5695	CCI-CYTOSOL-GN
CPLX1G01-21	ABC-type D/L-methionine transporter	G1G01-242 // G1G01-241	
G1G01-3954-MONOMER	membrane protein	G1G01-3954	CCI-PM-BAC-NEG-GN
G1G01-2466-MONOMER	hypothetical protein	G1G01-2466	CCI-EXTRACELLULAR-GN
G1G01-833-MONOMER	hypothetical protein	G1G01-833	
CPLX1G01-194	AmrZ dimer	G1G01-4766	
G1G01-2242-MONOMER	deoxyguanosinetriphosphate triphosphohydrolase-like protein	G1G01-2242	CCI-CYTOSOL-GN
G1G01-4295-MONOMER	enoyl-CoA hydratase/isomerase family protein	G1G01-4295	CCI-CYTOSOL-GN
CPLX1G01-176	RNA polymerase &sigma;<sup>28</sup> complex	G1G01-526 // G1G01-493 // G1G01-492 // G1G01-4619	
G1G01-2588-MONOMER	Fe(2+)/alpha-ketoglutarate-dependent dioxygenase	G1G01-2588	CCI-PM-BAC-NEG-GN
G1G01-4639-MONOMER	flagellar hook-length control protein FliK	G1G01-4639	CCI-EXTRACELLULAR-GN
CPLX1G01-159	cytochrome <i>bo<sub>3</sub></i> terminal oxidase	G1G01-885 // G1G01-886 // G1G01-887 // G1G01-888	
G1G01-1339-MONOMER	group II intron-encoding maturase	G1G01-1339	
G1G01-2929-MONOMER	ABC transporter ATP-binding protein	G1G01-2929	
CPLX1G01-144	ATP synthase	G1G01-5784 // G1G01-5783 // G1G01-5785 // G1G01-5779 // G1G01-5781 // G1G01-5780 // G1G01-5782 // G1G01-5778	
G1G01-4996-MONOMER	ketol-acid reductoisomerase	G1G01-4996	CCI-CYTOSOL-GN
G1G01-3264-MONOMER	acetoacetyl-CoA synthetase	G1G01-3264	CCI-CYTOSOL-GN
CPLX1G01-128	ABC-type phosphate transporter	G1G01-2838 // G1G01-2840 // G1G01-2839	
G1G01-1676-MONOMER	BNR domain-containing protein	G1G01-1676	
G1G01-534-MONOMER	membrane protein	G1G01-534	CCI-PM-BAC-NEG-GN
CPLX1G01-111	2-oxoglutarate dehydrogenase system	G1G01-4456 // G1G01-4454 // G1G01-4455	
G1G01-3602-MONOMER	sensor histidine kinase	G1G01-3602	CCI-PM-BAC-NEG-GN
G1G01-5680-MONOMER	two-component system response regulator	G1G01-5680	CCI-CYTOSOL-GN
CPLX-9269	fatty acid oxidation complex, &beta; component	G1G01-2278	
G1G01-394-MONOMER	molybdate transport regulator	G1G01-394	CCI-CYTOSOL-GN
G1G01-819-MONOMER	ferrochelatase	G1G01-819	CCI-CYTOSOL-GN
CPLX1G01-9	ABC-type phospholipid transporter	G1G01-1033 // G1G01-1032	
G1G01-2226-MONOMER	RNA polymerase ECF-1 &sigma; factor	G1G01-2226	CCI-CYTOSOL-GN
G1G01-428-MONOMER	glycerol-3-phosphate acyltransferase	G1G01-428	CCI-PM-BAC-NEG-GN
CPLX1G01-75	ethanolamine ammonia-lyase	G1G01-593 // G1G01-592	
G1G01-4622-MONOMER	flagellar export pore protein	G1G01-4622	CCI-PM-BAC-NEG-GN
G1G01-1321-MONOMER	AhpC/TSA family protein	G1G01-1321	
CPLX1G01-59	twin arginine protein export complex	G1G01-5361 // G1G01-1114	
G1G01-2574-MONOMER	MFS transporter	G1G01-2574	CCI-PM-BAC-NEG-GN
G1G01-2914-MONOMER	membrane protein	G1G01-2914	CCI-PM-BAC-NEG-GN
CPLX1G01-40	NADP(+)-specific isocitrate dehydrogenase	G1G01-4279 // G1G01-4278	
G1G01-4977-MONOMER	LysR family transcriptional regulator	G1G01-4977	CCI-CYTOSOL-GN
G1G01-1661-MONOMER	capsid protein	G1G01-1661	CCI-CYTOSOL-GN
CPLX1G01-25	ABC-type myristoylated ferribactin transporter	G1G01-4485	
G1G01-5325-MONOMER	ATP-dependent RNA helicase	G1G01-5325	CCI-CYTOSOL-GN
G1G01-3589-MONOMER	feruloyl-CoA hydratase-lyase	G1G01-3589	CCI-CYTOSOL-GN
CPLX1G01-206	multidrug RND transporter	G1G01-3690 // G1G01-3689	
G1G01-5666-MONOMER	oxidative and nitrosative stress transcriptional dual regulator	G1G01-5666	CCI-CYTOSOL-GN
G1G01-3924-MONOMER	hypothetical protein	G1G01-3924	
CPLX1G01-19	ABC-type hemin transporter	G1G01-5007 // G1G01-5006	
G1G01-804-MONOMER	hypothetical protein	G1G01-804	CCI-CYTOSOL-GN
G1G01-2211-MONOMER	acetyltransferase	G1G01-2211	
CPLX1G01-171	phenylacyl-CoA dehydrogenase	G1G01-402	
G1G01-4265-MONOMER	glutathionyl-hydroquinone reductase	G1G01-4265	CCI-CYTOSOL-GN
G1G01-4608-MONOMER	toxin-like protein	G1G01-4608	
CPLX1G01-156	formate dehydrogenase 2	G1G01-2327 // G1G01-2325 // G1G01-2326 // G1G01-2324	
G1G01-1306-MONOMER	colicin S4/filamentous phage transport protein	G1G01-1306	CCI-OUTER-MEM-GN
G1G01-256-MONOMER	outer-membrane porin E	G1G01-256	CCI-OUTER-MEM-GN
CPLX1G01-141	exodeoxyribonuclease V	G1G01-4987 // G1G01-4986 // G1G01-4985	
G1G01-290-MONOMER	outer-membrane porin D	G1G01-290	CCI-OUTER-MEM-GN
G1G01-4962-MONOMER	hypothetical protein	G1G01-4962	CCI-PM-BAC-NEG-GN
CPLX1G01-123	pyruvate dehydrogenase	G1G01-372	
G1G01-1647-MONOMER	hypothetical protein	G1G01-1647	
G1G01-531-MONOMER	transporter	G1G01-531	CCI-PM-BAC-NEG-GN
CPLX1G01-109	alginate O-acetylase	G1G01-1367 // G1G01-1366	
G1G01-3237-MONOMER	hypothetical protein	G1G01-3237	CCI-CYTOSOL-GN
G1G01-3574-MONOMER	nickel-responsive regulator	G1G01-3574	CCI-CYTOSOL-GN
CPLX-8486	short-chain acyl-CoA dehydrogenase	G1G01-2357	
G1G01-5651-MONOMER	ribonuclease PH	G1G01-5651	CCI-CYTOSOL-GN
G1G01-79-MONOMER	shikimate 5-dehydrogenase	G1G01-79	CCI-CYTOSOL-GN
CPLX1G01-87	nitrite reductase	G1G01-1807 // G1G01-1806	
G1G01-3910-MONOMER	hypothetical protein	G1G01-3910	CCI-PM-BAC-NEG-GN
G1G01-2198-MONOMER	DNA-binding transcriptional regulator	G1G01-2198	CCI-CYTOSOL-GN
CPLX1G01-72	cytochrome <i>bc1</i> complex	G1G01-1406 // G1G01-1404	
G1G01-425-MONOMER	DNA primase	G1G01-425	CCI-CYTOSOL-GN
G1G01-4594-MONOMER	hypothetical protein	G1G01-4594	
CPLX1G01-56	ABC-type dipeptide transporter	G1G01-953 // G1G01-954 // G1G01-956 // G1G01-955	
G1G01-1292-MONOMER	hypothetical protein	G1G01-1292	
G1G01-2544-MONOMER	hypothetical protein	G1G01-2544	
CPLX1G01-37	ABC-type amino acid transporter	G1G01-3834 // G1G01-3832 // G1G01-3831	
G1G01-2886-MONOMER	hypothetical protein	G1G01-2886	
G1G01-4948-MONOMER	trans-2-enoyl-CoA reductase	G1G01-4948	CCI-CYTOSOL-GN
CPLX1G01-22	ABC-type L-methionine transporter	G1G01-118 // G1G01-119	
G1G01-1631-MONOMER	hypothetical protein	G1G01-1631	CCI-CYTOSOL-GN
G1G01-5296-MONOMER	23S rRNA specific ATP-dependent RNA helicase	G1G01-5296	CCI-CYTOSOL-GN
CPLX1G01-203	RND family transporter CzcA4/Mfp1/Mfp2	G1G01-5520 // G1G01-5519 // G1G01-5518	
G1G01-3222-MONOMER	putative Regulator protein	G1G01-3222	
G1G01-3559-MONOMER	LysR family transcriptional regulator	G1G01-3559	
CPLX1G01-187	ABC-type pyoverdine exporter PvdRT-OmpQ	G1G01-4479 // G1G01-4478 // G1G01-4480	
G1G01-5637-MONOMER	hypothetical protein	G1G01-5637	CCI-CYTOSOL-GN
G1G01-775-MONOMER	fosmidomycin efflux system	G1G01-775	CCI-PM-BAC-NEG-GN
CPLX1G01-169	MnmG dimer	G1G01-4	
G1G01-3897-MONOMER	transcriptional regulator, AraC family	G1G01-3897	CCI-CYTOSOL-GN
G1G01-2183-MONOMER	LysR family transcriptional regulator	G1G01-2183	CCI-CYTOSOL-GN
CPLX1G01-153	anthranilate synthase complex	G1G01-456 // G1G01-454	
G1G01-4233-MONOMER	sensor histidine kinase	G1G01-4233	CCI-PM-BAC-NEG-GN
G1G01-1274-MONOMER	GNAT family acetyltransferase	G1G01-1274	
CPLX1G01-139	urease	G1G01-3025 // G1G01-3024 // G1G01-3023	
G1G01-253-MONOMER	taurine ABC transporter permease	G1G01-253	CCI-PM-BAC-NEG-GN
G1G01-4582-MONOMER	sulfate ABC transporter substrate-binding protein	G1G01-4582	CCI-PERI-BAC-GN
CPLX1G01-120	aspartate-semialdehyde dehydrogenase	G1G01-2120 // G1G01-2122	
G1G01-2871-MONOMER	hypothetical protein	G1G01-2871	CCI-CYTOSOL-GN
G1G01-2436-MONOMER	capsid assembly protein	G1G01-2436	
G1G01-4932-MONOMER	homogentisate 1,2-dioxygenase	G1G01-4932	
CPLX1G01-105	DNA-directed RNA polymerase core enzyme	G1G01-492 // G1G01-493 // G1G01-526	
G1G01-1617-MONOMER	beta-(1-3)-glucosyl transferase	G1G01-1617	CCI-PM-BAC-NEG-GN
